hotel_name,location,features,ratings,reviews,review_title,room_style,price,tax_charges,city,duration,persons,cancellation_policy,pre_payment,breakfast_included,Beds,Rooms
Super OYO Collection O Goodstays,Nerul,"Classic Triple Room3 beds (1 extra-large double, 2 large doubles)Free cancellationNo prepayment needed – pay at the propertyOnly 6 rooms left at this price on our site",7.7,31.0,Good,Classic Triple Room,28748.0,"3 nights, 2 adults",Goa,3,2,Yes,No,No,,3 bedrooms
"The Golden Rice by The Four Seasons, Goa",Marmagao,Deluxe Room1 double bedBreakfast includedFree cancellation,7.1,14.0,Good,Deluxe Room,35998.0,"3 nights, 2 adults",Goa,3,2,Yes,Yes,Yes,1 double bed,Deluxe Room
"Golden Rice Inn Candolim, North Goa - Near to Beach",Marmagao,Deluxe Room1 double bedFree cancellationNo prepayment needed – pay at the property,6.9,14.0,Good,Deluxe Room,48600.0,"3 nights, 2 adults",Goa,3,2,Yes,No,No,1 double bed,Deluxe Room
"HOTEL GOLDEN RICE, Goa",Candolim,Double Room with Balcony1 double bedFree cancellation,6.9,87.0,Good,Double Room with Balcony,36718.0,"3 nights, 2 adults",Goa,3,2,Yes,Yes,No,1 double bed,2 bedroomsss
"ITC Grand Goa, a Luxury Collection Resort & Spa, Goa",Utorda,"Lagoon View Premium, Guest room, 1 King or 2 Twin/Single Bed(s), Facilities access, Pool accessMultiple bed typesBreakfast includedOnly 5 rooms left at this price on our site",8.7,681.0,Fabulous,"Lagoon View Premium, Guest room, 1 King or 2 Twin/Single Bed(s), Facilities access, Pool access",157000.0,"3 nights, 2 adults",Goa,3,2,No,Yes,Yes,,
Westwood Residence Goa - The Boutique Hotel,Mapusa,One-Bedroom ApartmentEntire apartment • 1 bedroom • 1 bathroom1 large double bedFree cancellationOnly 6 left at this price on our site,8.4,49.0,Very good,One-Bedroom Apartment,31500.0,"3 nights, 2 adults",Goa,3,2,Yes,Yes,No,1 large double bed,1 bedroom
Arize You Home,Verla,King StudioEntire studio • 1 bathroom • 19m²1 large double bedFree cancellationOnly 2 left at this price on our site,8.0,17.0,Very good,King Studio,41997.0,"3 nights, 2 adults",Goa,3,2,Yes,Yes,No,1 large double bed,
Obrigado by Craftels,Cabo de Rama,King Room with Sea View1 extra-large double bedBreakfast includedOnly 1 room left at this price on our site,8.6,49.0,Fabulous,King Room with Sea View,101930.0,"3 nights, 2 adults",Goa,3,2,No,Yes,Yes,1 extra-large double bed,King Room
Candolim Glitter Sand,Candolim,"One-Bedroom ApartmentEntire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 28m²6 beds (1 sofa bed, 1 large double, 4 futons)Free cancellationOnly 1 left at this price on our site",7.8,306.0,Good,One-Bedroom Apartment,31588.0,"3 nights, 2 adults",Goa,3,2,Yes,Yes,No,,1 bedroom
Hyatt Centric Candolim Goa,Candolim,King Room1 extra-large double bedBreakfast includedFree cancellation,8.3,1554.0,Very good,King Room,94364.0,"3 nights, 2 adults",Goa,3,2,Yes,Yes,Yes,1 extra-large double bed,King Room
Grand Hyatt Goa,Bambolim,King Room with Balcony and Garden View1 extra-large double bedFree cancellation,8.5,706.0,Very good,King Room with Balcony and Garden View,151500.0,"3 nights, 2 adults",Goa,3,2,Yes,Yes,No,1 extra-large double bed,King Room
"Holiday Inn Resort Goa, an IHG Hotel","Cavelossim Beach, Cavelossim",Standard King Room - Smoking1 double bedFree cancellationNo prepayment needed – pay at the property,8.7,932.0,Fabulous,Standard King Room - Smoking,85320.0,"3 nights, 2 adults",Goa,3,2,Yes,No,No,1 double bed,King Room
Heritage Village Resort & Spa Goa,Cansaulim,Superior Twin Room with 15% discount on Food and Beverages2 single bedsBreakfast includedOnly 4 rooms left at this price on our site,8.6,744.0,Fabulous,Superior Twin Room with 15% discount on Food and Beverages,75147.0,"3 nights, 2 adults",Goa,3,2,No,Yes,Yes,2 single beds,2 bedroomsss
Mojigao,Assagao,"King Room2 beds (1 double, 1 futon)Breakfast includedOnly 1 room left at this price on our site",9.3,390.0,Superb,King Room,80000.0,"3 nights, 2 adults",Goa,3,2,No,Yes,Yes,,King Room
Alila Diwa Goa - A Hyatt Brand,Majorda,Twin Room with Balcony2 single bedsBreakfast includedFree cancellation,8.8,433.0,Fabulous,Twin Room with Balcony,100000.0,"3 nights, 2 adults",Goa,3,2,Yes,Yes,Yes,2 single beds,2 bedroomsss
"Storii By ITC Hotels, Shanti Morada Goa",Calangute,Superior Double Room with Pool View1 large double bedBreakfast includedFree cancellationOnly 4 rooms left at this price on our site,9.3,287.0,Superb,Superior Double Room with Pool View,112250.0,"3 nights, 2 adults",Goa,3,2,Yes,Yes,Yes,1 large double bed,2 bedroomsss
Hotel Casa De Patio,Porvorim,Double Room1 large double bedBreakfast includedFree cancellation,7.9,385.0,Good,Double Room,34500.0,"3 nights, 2 adults",Goa,3,2,Yes,Yes,Yes,1 large double bed,2 bedroomsss
Aaria Hills,Arambol,Superior Double Room1 large double bedFree cancellationOnly 3 rooms left at this price on our site,8.7,210.0,Fabulous,Superior Double Room,28500.0,"3 nights, 2 adults",Goa,3,2,Yes,Yes,No,1 large double bed,2 bedroomsss
Beleza By The Beach,Colva,Superior Double Room1 extra-large double bedBreakfast included,8.9,1333.0,Fabulous,Superior Double Room,95598.0,"3 nights, 2 adults",Goa,3,2,No,Yes,Yes,1 extra-large double bed,2 bedroomsss
"Taj Cidade de Goa Horizon, Goa",Panaji,Superior Room king bed1 extra-large double bedBreakfast included,9.3,1265.0,Superb,Superior Room king bed,143500.0,"3 nights, 2 adults",Goa,3,2,No,Yes,Yes,1 extra-large double bed,Superior Room
Cozywoods Hill Resort,Banastarim,Deluxe Double Room2 double bedsFree cancellationOnly 2 rooms left at this price on our site,7.3,43.0,Good,Deluxe Double Room,11250.0,"3 nights, 2 adults",Goa,3,2,Yes,Yes,No,2 double beds,2 bedroomsss
"Whoopers Boutique Hotel, Anjuna",Anjuna,King Room1 large double bedOnly 2 rooms left at this price on our site,9.0,245.0,Superb,King Room,74997.0,"3 nights, 2 adults",Goa,3,2,No,Yes,No,1 large double bed,King Room
Hyatt Place Goa Candolim,Candolim,King Room with Balcony1 extra-large double bedBreakfast included,9.3,31.0,Superb,King Room with Balcony,82750.0,"3 nights, 2 adults",Goa,3,2,No,Yes,Yes,1 extra-large double bed,King Room
4BHK SPARKLING APARTMENT NEAR BEACH POOL & BAR 2bhkX2,Vagator,"Apartment with BalconyEntire apartment • 4 bedrooms • 2 living rooms • 4 bathrooms • 1 kitchen • 186m²6 beds (4 doubles, 2 sofa beds)Free cancellationOnly 1 left at this price on our site",7.2,14.0,Good,Apartment with Balcony,183598.0,"3 nights, 2 adults",Goa,3,2,Yes,Yes,No,,4 bedrooms
